,datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count
10378,2012-11-17 20:00:00,4,0,0,2,13.94,17.425,66,6.0032,30,142,172
2815,2011-07-06 05:00:00,3,0,1,1,27.88,31.82,83,6.0032,5,30,35
8695,2012-08-04 16:00:00,3,0,0,1,36.9,40.91,39,19.9995,197,253,450
9026,2012-08-18 11:00:00,3,0,0,1,29.52,33.335,51,0.0,180,356,536
1543,2011-04-10 04:00:00,2,0,0,2,14.76,18.18,93,7.0015,3,2,5
4952,2011-11-19 10:00:00,4,0,0,1,13.12,15.15,45,16.9979,35,165,200
6181,2012-02-13 19:00:00,1,0,1,1,13.94,16.665,25,8.9981,7,256,263
5130,2011-12-07 20:00:00,4,0,1,3,13.94,14.395,87,43.0006,1,25,26
9048,2012-08-19 09:00:00,3,0,0,2,27.06,31.06,74,0.0,86,184,270
9565,2012-10-02 22:00:00,4,0,1,2,25.42,27.275,94,7.0015,28,212,240
8539,2012-07-17 04:00:00,3,0,1,1,29.52,34.09,62,0.0,0,7,7
603,2011-02-08 07:00:00,1,0,1,1,9.84,9.85,65,27.9993,3,97,100
8980,2012-08-16 13:00:00,3,0,1,1,32.8,34.85,31,15.0013,81,219,300
6223,2012-02-15 13:00:00,1,0,1,1,16.4,20.455,43,19.0012,11,159,170
393,2011-01-17 21:00:00,1,1,0,3,6.56,7.575,80,12.998,3,24,27
9969,2012-10-19 18:00:00,4,0,1,1,22.96,26.515,83,7.0015,21,212,233
8863,2012-08-11 16:00:00,3,0,0,1,32.8,36.365,46,19.9995,227,304,531
7494,2012-05-11 15:00:00,2,0,1,1,25.42,30.305,25,12.998,140,299,439
4694,2011-11-08 16:00:00,4,0,1,1,22.96,26.515,46,8.9981,39,250,289
8919,2012-08-14 00:00:00,3,0,1,1,28.7,33.335,74,15.0013,12,48,60
2317,2011-06-04 11:00:00,2,0,0,1,27.06,31.06,36,8.9981,120,249,369
7273,2012-05-02 10:00:00,2,0,1,2,23.78,27.275,83,7.0015,28,147,175
6763,2012-03-19 02:00:00,1,0,1,1,18.86,22.725,88,11.0014,1,7,8
3397,2011-08-11 11:00:00,3,0,1,1,31.16,33.335,35,16.9979,59,128,187
2846,2011-07-07 12:00:00,3,0,1,1,34.44,38.635,41,0.0,32,139,171
8031,2012-06-15 00:00:00,2,0,1,1,24.6,29.545,73,11.0014,26,68,94
8622,2012-08-01 15:00:00,3,0,1,1,33.62,37.88,46,11.0014,89,206,295
6914,2012-04-06 10:00:00,2,0,1,1,14.76,16.665,40,22.0028,81,157,238
3404,2011-08-11 18:00:00,3,0,1,1,31.98,34.09,29,6.0032,74,497,571
2483,2011-06-11 09:00:00,2,0,0,1,30.34,34.09,62,8.9981,59,171,230
401,2011-01-18 17:00:00,1,0,1,2,9.02,11.365,82,12.998,1,124,125
8292,2012-07-06 21:00:00,3,0,1,1,33.62,38.635,52,8.9981,77,223,300
1631,2011-04-13 21:00:00,2,0,1,1,17.22,21.21,67,11.0014,17,100,117
4877,2011-11-16 07:00:00,4,0,1,3,18.86,22.725,94,0.0,7,130,137
6429,2012-03-05 03:00:00,1,0,1,1,9.02,11.365,51,11.0014,0,1,1
5741,2012-01-14 09:00:00,1,0,0,1,5.74,8.335,50,7.0015,3,78,81
4421,2011-10-16 06:00:00,4,0,0,1,15.58,19.695,66,11.0014,3,7,10
9179,2012-09-05 20:00:00,3,0,1,1,29.52,35.605,84,11.0014,55,357,412
8707,2012-08-05 04:00:00,3,0,0,1,29.52,34.85,74,16.9979,3,11,14
3566,2011-08-18 12:00:00,3,0,1,1,32.8,37.12,52,19.0012,34,139,173
6623,2012-03-13 06:00:00,1,0,1,3,18.86,22.725,82,12.998,5,108,113
5866,2012-01-19 15:00:00,1,0,1,1,10.66,11.365,44,19.9995,9,118,127
5740,2012-01-14 08:00:00,1,0,0,1,4.92,7.575,54,7.0015,3,89,92
9289,2012-09-10 10:00:00,3,0,1,1,25.42,31.06,50,19.0012,42,168,210
3859,2011-09-11 19:00:00,3,0,0,1,26.24,30.305,69,7.0015,101,232,333
2067,2011-05-13 01:00:00,2,0,1,1,21.32,25.0,83,11.0014,5,15,20
4123,2011-10-03 20:00:00,4,0,1,3,16.4,20.455,82,0.0,13,191,204
1599,2011-04-12 13:00:00,2,0,1,3,22.14,25.76,68,19.0012,22,84,106
7915,2012-06-10 04:00:00,2,0,0,1,25.42,29.545,78,6.0032,1,9,10
1385,2011-04-03 14:00:00,2,0,0,1,18.86,22.725,31,8.9981,240,109,349
8881,2012-08-12 10:00:00,3,0,0,1,28.7,32.575,51,11.0014,88,240,328
5601,2012-01-08 12:00:00,1,0,0,1,15.58,19.695,43,15.0013,78,273,351
1405,2011-04-04 10:00:00,2,0,1,2,22.14,25.76,45,23.9994,35,55,90
809,2011-02-17 04:00:00,1,0,1,1,13.12,15.91,57,12.998,3,1,4
2029,2011-05-11 11:00:00,2,0,1,1,22.96,26.515,64,6.0032,18,123,141
3455,2011-08-13 21:00:00,3,0,0,2,27.88,31.82,83,26.0027,40,127,167
3027,2011-07-15 01:00:00,3,0,1,1,25.42,29.545,73,12.998,7,13,20
10780,2012-12-15 14:00:00,4,0,0,1,16.4,20.455,50,11.0014,92,334,426
8644,2012-08-02 13:00:00,3,0,1,1,35.26,39.395,44,15.0013,98,212,310
1702,2011-04-16 20:00:00,2,0,0,3,18.04,21.97,94,15.0013,4,49,53
3284,2011-08-06 18:00:00,3,0,0,2,29.52,34.85,79,30.0026,81,130,211
7086,2012-04-13 15:00:00,2,0,1,1,22.14,25.76,28,16.9979,115,237,352
2498,2011-06-12 00:00:00,2,0,0,1,27.06,30.305,78,15.0013,19,100,119
4058,2011-10-01 03:00:00,4,0,0,1,18.86,22.725,59,27.9993,8,17,25
3316,2011-08-08 02:00:00,3,0,1,1,27.06,29.545,89,0.0,4,3,7
7609,2012-05-16 10:00:00,2,0,1,1,27.06,31.06,61,0.0,43,149,192
3782,2011-09-08 14:00:00,3,0,1,2,28.7,33.335,79,23.9994,15,105,120
1880,2011-05-05 06:00:00,2,0,1,1,13.94,15.91,66,16.9979,3,86,89
6935,2012-04-07 07:00:00,2,0,0,1,13.12,15.15,33,19.0012,14,40,54
9481,2012-09-18 10:00:00,3,0,1,3,27.88,31.82,79,43.0006,30,130,160
9430,2012-09-16 07:00:00,3,0,0,1,20.5,24.24,77,7.0015,28,43,71
6672,2012-03-15 07:00:00,1,0,1,1,18.04,21.97,72,6.0032,14,367,381
5573,2012-01-07 08:00:00,1,0,0,1,9.84,12.88,75,7.0015,0,64,64
8069,2012-06-16 14:00:00,2,0,0,1,29.52,32.575,37,15.0013,264,309,573
10300,2012-11-14 14:00:00,4,0,1,1,14.76,17.425,43,8.9981,20,161,181
6754,2012-03-18 17:00:00,1,0,0,1,22.96,26.515,64,6.0032,233,308,541
2585,2011-06-15 15:00:00,2,0,1,1,31.16,33.335,27,0.0,33,131,164
8356,2012-07-09 13:00:00,3,0,1,2,31.16,34.85,55,16.9979,67,188,255
1046,2011-03-08 03:00:00,1,0,1,1,9.84,12.88,52,6.0032,5,2,7
9388,2012-09-14 13:00:00,3,0,1,2,28.7,32.575,54,12.998,107,301,408
6714,2012-03-17 01:00:00,1,0,0,2,18.04,21.97,94,0.0,12,57,69
6415,2012-03-04 13:00:00,1,0,0,1,14.76,16.665,37,23.9994,108,256,364
1568,2011-04-11 06:00:00,2,0,1,2,18.86,22.725,100,15.0013,2,59,61
462,2011-02-02 08:00:00,1,0,1,3,9.02,10.605,93,15.0013,1,154,155
743,2011-02-14 08:00:00,1,0,1,1,15.58,19.695,40,31.0009,7,249,256
222,2011-01-10 13:00:00,1,0,1,2,8.2,9.09,40,19.0012,4,50,54
9056,2012-08-19 17:00:00,3,0,0,2,26.24,29.545,78,7.0015,76,267,343
5962,2012-02-04 15:00:00,1,0,0,2,13.12,15.15,66,15.0013,61,244,305
4347,2011-10-13 04:00:00,4,0,1,2,22.14,25.76,100,7.0015,2,5,7
625,2011-02-09 06:00:00,1,0,1,1,2.46,7.575,45,0.0,0,43,43
2288,2011-06-03 06:00:00,2,0,1,1,22.14,25.76,45,19.9995,8,98,106
9898,2012-10-16 19:00:00,4,0,1,1,19.68,23.485,48,0.0,40,491,531
2177,2011-05-17 15:00:00,2,0,1,1,25.42,30.305,69,30.0026,79,131,210
10644,2012-12-09 22:00:00,4,0,0,3,14.76,18.18,93,7.0015,3,75,78
4772,2011-11-11 22:00:00,4,1,0,1,13.12,15.91,39,12.998,13,78,91
5830,2012-01-18 03:00:00,1,0,1,2,18.04,21.97,51,32.9975,1,3,4
10608,2012-12-08 10:00:00,4,0,0,2,16.4,20.455,87,8.9981,43,244,287
3145,2011-07-19 23:00:00,3,0,1,3,29.52,34.85,79,11.0014,19,73,92
6130,2012-02-11 16:00:00,1,0,0,3,9.02,9.85,75,27.9993,12,134,146
353,2011-01-16 05:00:00,1,0,0,2,10.66,12.88,56,11.0014,1,1,2
456,2011-02-02 02:00:00,1,0,1,3,9.02,11.365,93,8.9981,4,0,4
5465,2012-01-02 20:00:00,1,1,0,1,9.84,11.365,41,15.0013,5,83,88
239,2011-01-11 08:00:00,1,0,1,2,7.38,10.605,51,6.0032,3,214,217
3038,2011-07-15 12:00:00,3,0,1,1,28.7,32.575,48,12.998,61,177,238
3946,2011-09-15 11:00:00,3,0,1,2,27.88,31.82,65,8.9981,39,120,159
6968,2012-04-08 16:00:00,2,0,0,1,26.24,30.305,19,22.0028,232,244,476
6856,2012-04-04 00:00:00,2,0,1,1,19.68,23.485,48,0.0,18,23,41
10109,2012-11-06 14:00:00,4,0,1,1,14.76,18.18,40,7.0015,44,196,240
6554,2012-03-10 08:00:00,1,0,0,1,9.02,10.605,44,19.9995,15,96,111
1018,2011-03-06 22:00:00,1,0,0,2,9.02,9.85,100,26.0027,0,10,10
10647,2012-12-10 01:00:00,4,0,1,2,14.76,18.94,100,0.0,0,4,4
10842,2012-12-18 04:00:00,4,0,1,1,17.22,21.21,82,11.0014,3,5,8
1760,2011-04-19 06:00:00,2,0,1,2,19.68,23.485,67,0.0,2,63,65
2602,2011-06-16 08:00:00,2,0,1,2,24.6,29.545,69,8.9981,24,364,388
9572,2012-10-03 05:00:00,4,0,1,2,25.42,27.275,94,7.0015,2,32,34
9249,2012-09-08 18:00:00,3,0,0,3,23.78,27.275,83,8.9981,27,140,167
1103,2011-03-10 14:00:00,1,0,1,3,18.04,21.97,0,19.9995,0,12,12
8954,2012-08-15 11:00:00,3,0,1,2,30.34,34.09,58,12.998,80,155,235
5121,2011-12-07 11:00:00,4,0,1,3,18.04,21.97,100,6.0032,3,47,50
10345,2012-11-16 11:00:00,4,0,1,1,15.58,19.695,43,15.0013,33,185,218
6544,2012-03-09 22:00:00,1,0,1,1,13.94,14.395,31,32.9975,7,100,107
7364,2012-05-06 05:00:00,2,0,0,3,21.32,25.0,83,11.0014,1,10,11
9988,2012-11-01 13:00:00,4,0,1,2,16.4,20.455,58,11.0014,49,199,248
10062,2012-11-04 15:00:00,4,0,0,1,16.4,20.455,40,15.0013,149,300,449
10260,2012-11-12 22:00:00,4,1,0,1,21.32,25.0,77,16.9979,12,100,112
3333,2011-08-08 19:00:00,3,0,1,1,33.62,37.12,43,7.0015,64,352,416
6063,2012-02-08 21:00:00,1,0,1,3,9.84,11.365,87,12.998,3,126,129
8789,2012-08-08 14:00:00,3,0,1,2,32.8,37.12,52,16.9979,63,173,236
9171,2012-09-05 12:00:00,3,0,1,1,31.98,38.635,70,7.0015,49,217,266
5245,2011-12-12 15:00:00,4,0,1,2,13.12,16.665,57,7.0015,8,124,132
1034,2011-03-07 15:00:00,1,0,1,1,13.94,15.15,31,26.0027,32,64,96
5156,2011-12-08 22:00:00,4,0,1,1,10.66,13.635,65,8.9981,8,84,92
4156,2011-10-05 05:00:00,4,0,1,1,18.04,21.97,82,8.9981,3,29,32
3834,2011-09-10 18:00:00,3,0,0,1,29.52,33.335,58,12.998,119,241,360
10537,2012-12-05 11:00:00,4,0,1,1,18.04,21.97,44,19.0012,11,161,172
906,2011-03-02 05:00:00,1,0,1,1,9.02,10.605,69,15.0013,0,5,5
9017,2012-08-18 02:00:00,3,0,0,3,25.42,28.03,88,11.0014,4,39,43
7446,2012-05-09 15:00:00,2,0,1,2,26.24,31.06,53,7.0015,68,191,259
8257,2012-07-05 10:00:00,3,0,1,1,35.26,39.395,44,23.9994,69,117,186
3973,2011-09-16 14:00:00,3,0,1,2,22.14,25.76,45,11.0014,49,176,225
6921,2012-04-06 17:00:00,2,0,1,1,21.32,25.0,23,27.9993,172,483,655
2286,2011-06-03 04:00:00,2,0,1,1,21.32,25.0,48,22.0028,1,5,6
8844,2012-08-10 21:00:00,3,0,1,1,30.34,34.85,66,16.9979,50,236,286
5859,2012-01-19 08:00:00,1,0,1,1,4.92,7.575,54,7.0015,9,414,423
10790,2012-12-16 00:00:00,4,0,0,2,14.76,18.94,62,0.0,8,102,110
7283,2012-05-02 20:00:00,2,0,1,1,21.32,25.0,77,16.9979,42,296,338
9108,2012-09-02 21:00:00,3,0,0,1,28.7,32.575,70,11.0014,79,92,171
3909,2011-09-13 22:00:00,3,0,1,1,26.24,29.545,78,8.9981,24,120,144
6462,2012-03-06 12:00:00,1,0,1,1,10.66,13.635,41,7.0015,9,129,138
6783,2012-03-19 22:00:00,1,0,1,2,22.96,26.515,73,11.0014,17,131,148
9437,2012-09-16 14:00:00,3,0,0,1,27.06,31.06,39,8.9981,225,410,635
7014,2012-04-10 14:00:00,2,0,1,1,22.14,25.76,24,12.998,75,149,224
3448,2011-08-13 14:00:00,3,0,0,1,30.34,34.85,70,16.9979,113,146,259
1901,2011-05-06 03:00:00,2,0,1,1,14.76,18.18,71,7.0015,3,6,9
2929,2011-07-10 23:00:00,3,0,0,1,29.52,34.09,66,16.9979,19,53,72
4553,2011-11-02 19:00:00,4,0,1,1,16.4,20.455,76,8.9981,25,257,282
1569,2011-04-11 07:00:00,2,0,1,2,20.5,24.24,88,15.0013,12,164,176
6187,2012-02-14 01:00:00,1,0,1,2,10.66,15.15,56,0.0,0,6,6
347,2011-01-15 23:00:00,1,0,0,1,12.3,14.395,45,19.0012,5,39,44
1242,2011-03-16 14:00:00,1,0,1,2,16.4,20.455,76,15.0013,33,67,100
420,2011-01-19 13:00:00,1,0,1,1,16.4,20.455,62,19.0012,11,67,78
8252,2012-07-05 05:00:00,3,0,1,1,29.52,34.09,62,0.0,1,28,29
2732,2011-07-02 18:00:00,3,0,0,1,33.62,35.605,30,19.0012,193,190,383
8334,2012-07-08 15:00:00,3,0,0,3,37.72,44.695,42,19.0012,80,218,298
9733,2012-10-09 22:00:00,4,0,1,2,19.68,23.485,77,6.0032,7,155,162
7568,2012-05-14 17:00:00,2,0,1,3,22.96,26.515,88,16.9979,25,204,229
9502,2012-09-19 07:00:00,3,0,1,1,21.32,25.0,63,15.0013,16,529,545
1031,2011-03-07 12:00:00,1,0,1,1,12.3,13.635,42,27.9993,28,68,96
7842,2012-06-07 03:00:00,2,0,1,1,20.5,24.24,77,7.0015,0,5,5
3928,2011-09-14 17:00:00,3,0,1,1,31.16,34.85,52,19.0012,87,512,599
7616,2012-05-16 17:00:00,2,0,1,1,29.52,33.335,51,12.998,104,769,873
3562,2011-08-18 08:00:00,3,0,1,1,27.06,31.06,74,19.0012,27,393,420
5014,2011-12-03 00:00:00,4,0,0,1,12.3,14.395,56,16.9979,10,65,75
763,2011-02-15 05:00:00,1,0,1,1,9.02,9.09,32,31.0009,0,4,4
7745,2012-06-03 02:00:00,2,0,0,1,21.32,25.0,59,7.0015,22,67,89
9331,2012-09-12 04:00:00,3,0,1,1,20.5,24.24,72,6.0032,0,5,5
9647,2012-10-06 08:00:00,4,0,0,1,22.96,26.515,83,12.998,22,184,206
1222,2011-03-15 17:00:00,1,0,1,2,14.76,17.425,62,12.998,22,195,217
9975,2012-11-01 00:00:00,4,0,1,1,14.76,18.18,57,6.0032,8,52,60
2134,2011-05-15 20:00:00,2,0,0,1,22.14,25.76,88,0.0,53,138,191
4461,2011-10-17 22:00:00,4,0,1,1,20.5,24.24,77,0.0,16,88,104
5487,2012-01-03 18:00:00,1,0,1,1,5.74,4.545,26,35.0008,10,214,224
6951,2012-04-07 23:00:00,2,0,0,1,18.86,22.725,23,15.0013,32,86,118
3344,2011-08-09 06:00:00,3,0,1,1,29.52,33.335,64,0.0,6,95,101
1575,2011-04-11 13:00:00,2,0,1,2,26.24,30.305,69,27.9993,62,77,139
509,2011-02-04 09:00:00,1,0,1,2,6.56,9.09,80,8.9981,3,124,127
9225,2012-09-07 18:00:00,3,0,1,1,31.16,35.605,62,19.9995,95,697,792
3647,2011-09-02 21:00:00,3,0,1,2,26.24,30.305,73,6.0032,28,121,149
2304,2011-06-03 22:00:00,2,0,1,1,25.42,31.06,35,0.0,26,145,171
3485,2011-08-15 03:00:00,3,0,1,1,24.6,28.03,83,12.998,1,6,7
3206,2011-08-03 12:00:00,3,0,1,3,31.16,34.85,55,8.9981,19,142,161
8152,2012-07-01 01:00:00,3,0,0,1,30.34,34.85,70,8.9981,12,81,93
1259,2011-03-17 07:00:00,1,0,1,1,13.12,16.665,76,8.9981,12,128,140
10277,2012-11-13 15:00:00,4,0,1,1,16.4,20.455,40,19.9995,33,184,217
10209,2012-11-10 19:00:00,4,0,0,1,18.86,22.725,51,6.0032,55,228,283
2389,2011-06-07 11:00:00,2,0,1,2,31.16,34.85,52,16.9979,38,113,151
711,2011-02-12 23:00:00,1,0,0,1,9.02,11.365,51,8.9981,1,31,32
7741,2012-06-02 22:00:00,2,0,0,1,23.78,27.275,46,8.9981,52,176,228
9948,2012-10-18 21:00:00,4,0,1,2,22.14,25.76,77,12.998,38,245,283
4489,2011-10-19 02:00:00,4,0,1,2,21.32,25.0,77,12.998,1,6,7
2836,2011-07-07 02:00:00,3,0,1,1,27.06,29.545,89,12.998,1,7,8
9930,2012-10-18 03:00:00,4,0,1,1,18.04,21.97,88,15.0013,0,5,5
1372,2011-04-03 01:00:00,2,0,0,1,12.3,15.91,61,7.0015,8,26,34
712,2011-02-13 00:00:00,1,0,0,1,8.2,11.365,64,7.0015,5,34,39
7891,2012-06-09 04:00:00,2,0,0,1,25.42,31.06,57,0.0,2,6,8
9877,2012-10-15 22:00:00,4,0,1,1,20.5,24.24,59,19.0012,8,118,126
4100,2011-10-02 21:00:00,4,0,0,1,14.76,17.425,71,15.0013,17,71,88
10826,2012-12-17 12:00:00,4,0,1,2,16.4,20.455,87,0.0,21,211,232
8313,2012-07-07 18:00:00,3,0,0,1,38.54,41.665,29,6.0032,83,194,277
1482,2011-04-07 15:00:00,2,0,1,1,24.6,31.06,38,7.0015,27,133,160
7365,2012-05-06 06:00:00,2,0,0,3,21.32,25.0,83,15.0013,3,14,17
10416,2012-11-19 10:00:00,4,0,1,2,14.76,16.665,66,16.9979,33,106,139
6114,2012-02-11 00:00:00,1,0,0,2,12.3,15.15,70,8.9981,3,50,53
1794,2011-05-01 16:00:00,2,0,0,2,20.5,24.24,72,12.998,75,139,214
4584,2011-11-04 02:00:00,4,0,1,2,16.4,20.455,76,0.0,2,8,10
1821,2011-05-02 19:00:00,2,0,1,2,25.42,30.305,69,8.9981,46,268,314
8989,2012-08-16 22:00:00,3,0,1,1,29.52,33.335,51,11.0014,69,185,254
10470,2012-12-02 16:00:00,4,0,0,2,18.04,21.97,67,7.0015,85,358,443
5970,2012-02-04 23:00:00,1,0,0,2,9.84,12.12,87,8.9981,4,66,70
10885,2012-12-19 23:00:00,4,0,1,1,13.12,16.665,66,8.9981,4,84,88
1741,2011-04-18 11:00:00,2,0,1,2,22.14,25.76,52,6.0032,36,87,123
1658,2011-04-15 00:00:00,2,1,0,1,18.04,21.97,67,0.0,6,21,27
212,2011-01-10 03:00:00,1,0,1,1,4.92,6.06,50,15.0013,0,1,1
4074,2011-10-01 19:00:00,4,0,0,2,15.58,19.695,82,12.998,27,99,126
10845,2012-12-18 07:00:00,4,0,1,1,14.76,17.425,93,8.9981,4,351,355
323,2011-01-14 23:00:00,1,0,1,2,7.38,12.12,55,0.0,1,26,27
10720,2012-12-13 02:00:00,4,0,1,2,10.66,12.12,56,16.9979,3,5,8
1097,2011-03-10 08:00:00,1,0,1,3,15.58,19.695,0,19.0012,1,43,44
9622,2012-10-05 07:00:00,4,0,1,1,21.32,25.0,83,7.0015,11,417,428
1359,2011-04-02 12:00:00,2,0,0,3,13.12,16.665,81,8.9981,84,100,184
334,2011-01-15 10:00:00,1,0,0,1,7.38,9.85,59,11.0014,2,57,59
5641,2012-01-10 05:00:00,1,0,1,1,16.4,20.455,47,15.0013,0,23,23
1613,2011-04-13 03:00:00,2,0,1,3,16.4,20.455,94,22.0028,0,2,2
4871,2011-11-16 01:00:00,4,0,1,3,18.86,22.725,94,6.0032,0,5,5
792,2011-02-16 11:00:00,1,0,1,1,13.94,15.15,34,19.9995,7,59,66
233,2011-01-11 00:00:00,1,0,1,1,5.74,8.335,59,7.0015,2,10,12
4672,2011-11-07 18:00:00,4,0,1,1,18.86,22.725,59,7.0015,18,407,425
8750,2012-08-06 23:00:00,3,0,1,1,29.52,34.85,74,12.998,16,97,113
6804,2012-04-01 19:00:00,2,0,0,1,21.32,25.0,55,15.0013,110,236,346
10812,2012-12-16 22:00:00,4,0,0,2,16.4,20.455,82,12.998,6,83,89
8355,2012-07-09 12:00:00,3,0,1,2,30.34,34.09,58,8.9981,61,205,266
6769,2012-03-19 08:00:00,1,0,1,1,18.86,22.725,88,7.0015,16,563,579
8913,2012-08-13 18:00:00,3,0,1,1,31.16,34.85,52,19.0012,103,709,812
8431,2012-07-12 16:00:00,3,0,1,1,32.8,35.605,36,12.998,69,370,439
6376,2012-03-02 22:00:00,1,0,1,2,14.76,18.94,87,0.0,6,69,75
2485,2011-06-11 11:00:00,2,0,0,1,31.16,35.605,62,8.9981,110,215,325
2413,2011-06-08 11:00:00,2,0,1,1,34.44,37.88,41,12.998,28,106,134
5349,2011-12-16 23:00:00,4,0,1,2,12.3,15.15,49,8.9981,4,71,75
6248,2012-02-16 14:00:00,1,0,1,3,13.12,15.91,81,12.998,1,30,31
3658,2011-09-03 08:00:00,3,0,0,1,26.24,30.305,69,11.0014,24,65,89
871,2011-02-19 18:00:00,1,0,0,1,14.76,15.91,25,30.0026,21,67,88
2473,2011-06-10 23:00:00,2,0,1,1,29.52,34.85,74,11.0014,36,110,146
1263,2011-03-17 11:00:00,1,0,1,1,18.04,21.97,54,19.0012,20,66,86
1618,2011-04-13 08:00:00,2,0,1,3,15.58,19.695,94,12.998,6,158,164
